quizzes,solutions
000000001901068500004500080000000009000307040000000837270600008300050000050000900,587234691931768524624519783743185269862397145195426837279641358318952476456873912
100400000000020080060010005700802300000009000000600207030000610810000400006040002,158493726397526184264718935749852361623179548581634297435287619812965473976341852
000049008045000019000070000100000023009005060000003000300080046000031087000604090,217549638645328719983176452158467923739215864426893175391782546564931287872654391
002000000083902000600070500100207600000860009000000100006000005000008004917003000,572186493483952761691374582159237648734861259268495137846729315325618974917543826
020063090010400002000000050098070006000050380600308917000609100001030060000000070,725863491816495732943712658398174526172956384654328917237689145481537269569241873
004000320003960004000084065061200708800040000925003001590007000702001003306500090,684715329153962874279384165461259738837146952925873641598437216742691583316528497
300060000007010400900000217003001760000005000190420000000000670014000009009070801,341762958287519436965348217523981764478635192196427583832194675714856329659273841
004000000007340050001005000000703001000068300108000009089200003070050002000000074,854917236967342158321685497546793821792168345138524769489276513673451982215839674
001008046006075900200000700080000304020000000090460800000000007000030090508604030,731928546846175923259346718187259364624783159395461872963512487412837695578694231
000057809005000300000000000002001000300000402080300001400085000070100004910024700,134257869265918347897463125742591638351876492689342571423785916576139284918624753
006000000000302005034100096050000081000200000802040700643700000000001000700090000,576984132198362475234157896459673281367218549812549763643725918985431627721896354
400060905320907000001040082072056003090201000530700016608009001000000540000814070,487162935325987164961345782172456893896231457534798216648579321719623548253814679
007006000010000305090107000000600050000000208180500706458090010700400020009060000,247356981816249375593187462932678154675914238184523796458792613761435829329861547
000082600020900000510000090000007900300008000840096530000000100007000068490000300,934782651726915843518643792265137984379458216841296537683574129157329468492861375
000008014090000075006700300900010000020000009070506103600000980000037000010000500,357928614291364875846751392963412758125873469478596123632145987589637241714289536
003014600070038009000000010200041000140000800530020400700000003060087020000009000,953214678471638259628795314286941537149573862537826491795462183364187925812359746
005001709000000053008000010009710000010004060000005004000009040000046071006037502,235461789164978253798352416649713825513284967827695134371529648952846371486137592
000007030000806009000000160000503600283070410060000020710205000020000900856300000,691457832432816579578932164147523698283679415965184723719245386324768951856391247
580070900097020003004500860039410500020000490000008302000007018146009000300060200,583671924697824153214593867739412586825736491461958372952347618146289735378165249
000001032060000009040000000000020000100603000050000480000080000000400500300000000,879541632561372849243968715937824156184653297652197483495286371716439528328715964
060040807000000000500029000670000038000507040980006020000600900200050080000000050,362145897749863512518729463675294138123587649984316725851632974297451386436978251
500082060000000070830070000705900000080050000300000010900005007006800120000630905,597382461162549378834176259725914836681253794349768512913425687456897123278631945
000730201810040760040600080030450600705009000000006018000020000502100970006587003,659738241813245769247691385138452697765819432924376518371924856582163974496587123
000000048020830600050016000062000450408509003700000106600108095000004307070023010,136297548924835671857416932362781459418569723795342186643178295281954367579623814
000860010075004000308079600009008000260100400000320050184002307950006120700030009,492863715675214893318579642539648271267195438841327956184952367953786124726431589
300580000000100090604009800800000039000000001061930200002600000009025007070000040,397586124258143796614279853825761439943852671761934285432697518189425367576318942
000000000070002000090605703030000000260409010000003060040000001001084050007000980,416397825573842196892615743139568472265479318784123569948756231321984657657231984
090040010206000700807510302050139600430050000000800205625300080000700069001008000,593247816216983754847516392752139648438652971169874235625391487384725169971468523
001704002060800000250000064506900040420576080070000090080050906047103000300002001,931764852764825319258319764516938247429576183873241695182457936647193528395682471
200400809008502104000007020500003090603000008000600407080000005306240000040300000,237416859968532174451897623514783296673924518829651437782169345396245781145378962
008120000410080000502004000086000300000000004030760900000000150671090000300070209,798125436413687592562934718286459371957213684134768925829346157671592843345871269
000000000002000005059200037090001600064970000010320900045002800000030000306084000,431657298782493165659218437593841672264975381817326954945762813128539746376184529
000287000008000009002045000069000040300000802000604097000006025000000600800500400,695287314748361259132945786569728143374159862281634597413876925957412638826593471
480700000000406027000000000070001060020000009034002510001857002060000050040000070,482715396953486127716329485879531264125648739634972518391857642267194853548263971
000004362300000050000007000090070230002003600170006000640010000007400009000005020,789154362324689157561327948896571234452893671173246895645912783237468519918735426
000030000965000070020079800000014000100900052000320000009000004010000037004863005,487631529965248371321579846852714963143986752796325418639157284518492637274863195
500600083006240000002000001000301000900000000003728000700800500030000098000030060,549617283816243975372985641457391826928456317163728459791864532634572198285139764
001073000809600005207050104708530410005900780060000000503008040020016800000000297,651473928849621375237859164798532416315964782462187539573298641924716853186345297
020408000000902000060000009070000300300000000198070024035807000700040000400009508,921468753547932861863751249672194385354286917198573624235817496789645132416329578
002800000000350001000000007000096000004000080000001000000007020010000009830000000,152879634678354291493162857381596472964723185725481963546917328217638549839245716
000010450000406000070008002021040697000000000084000010000700000000090283100680000,298317456315426978476958132521843697963571824784269315849732561657194283132685749
010068000046090030000300070000052608002807010100009000700000002405000300000000400,317268594246795831598314276973152648652847913184639725739486152465921387821573469
070900000003015000010004208031600000605840910000020003002768530900002000006059470,274986351863215794519374268431697825625843917798521643142768539957432186386159472
800000905000309000000060100001800000000070200900005067000030804268000390040000000,836421975517389642492567183721846539654973218983215467179632854268754391345198726
000400090060002510501300002000000307000080040720900000006004080057000600080010000,372451896864792513591368472948126357613587249725943168136274985457839621289615734
008000000012003008000510009000009000305076000720030000000940601200000700000800002,938624157512793468476518329641289573385176294729435816857942631294361785163857942
010008000002500006080000090800402035000030700600000900060703040005090200009000050,714968523932541876586327491897412635451639782623875914268753149375194268149286357
035000074040000030901020000008065009000190600400000000090200085000051060000080300,635819274842576931971324856318465729527198643469732518796243185283951467154687392
000030000080001430014580700000096071000070000003005809040000900059100320001000000,576439182982761435314582796428396571195874263763215849247653918659148327831927654
000607000523080100006001492302074005040000006000903208710050000000100670004092300,491627583523489167876531492362874915948215736157963248719356824235148679684792351
300020005060001300000007060070000130000002006000760004420050000001080503500003090,349826715267591348815437269678945132954312876132768954423159687791684523586273491
020047080710030500000200000000070900000100030961000800100305200002000400030700008,629547381718639542345218769253876914487192635961453827194385276872961453536724198
200000830000000640300480059003024090000503100006000000000301020000900460709040000,274695831598137642361482759813724596927563184456819273645371928132958467789246315
000600000000030090960040050009004000800090516030201009500907000007000020400080100,345679281271538694968142357159864732824793516736251849513927468687415923492386175
000008040800310000310600002530090780009000300000150000000401000072900000003006008,296578143854312679317649852531294786429867315768153924985431267672985431143726598
001057000000002050008600001000060000600000000037100086009080035100400007074009010,321857964746912358598643721985264173612378549437195286269781435153426897874539612
000200000004000000200430680000002500010003200502010094780000000400381000005700140,163278459854169732279435681647892513918543267532617894781954326426381975395726148
045900030009000070003005028500100000000000007270600000000000600104502000900400010,745928136829361475613745928536187294491253867278694351357819642164532789982476513
000000009000100000203700000600009100089036027500800000050002410090300200400010080,715628349968143752243795861674259138189436527532871694357982416891364275426517983
000307500038100046000000009060701050540000100007002098090000000000400000100293000,924367581738159246651824379869731452542986137317542698493618725286475913175293864
070069000000000050000001000000000908800000000405300000000500040090000600002003000,571269483968734152243851796726415938839672514415398267187526349394187625652943871
000003105301260000060000000700002009500000000028045000830004000209030004000180000,482793165351268947967451238746312859593876412128945376835624791219537684674189523
040000007107000000005000012000090006031060400820041030600000050018009000000000280,249185367187326594365974812574893126931562478826741935692438751718259643453617289
097004560000100008608052007200500080003070046801000300000000200049803001300796050,197384562425167938638952417264531789953278146871649325786415293549823671312796854
800003701000780000020090004040309100500000060013000080902000000100200007084000310,896453721451782936327691854648329175579814263213576489962137548135248697784965312
704000501800000090000402000002005000308900006040800200005000000000619070100008000,794386521826157394531492867612735948358924716947861253465273189283619475179548632
008096500279400000000000000810000030000010002000809700090005400700000800500120000,138296547279458163465371298817642935943517682652839714391785426724963851586124379
000810000200000013000000400007500062003000080006009504005200309040070000090403200,534812796279645813861397425987534162453126987126789534715268349342971658698453271
000005000000098070004010080040000000005080000030150900701200560008000040000000102,683725491512498673974316285149632857265987314837154926791243568328561749456879132
040620107000000300700000000050030061000900804008071000400019030002000400006750002,549623187281597346763148259954832761317965824628471593475219638192386475836754912
000000000000000300780000450000002580100930006600000004900108000450703010006004700,534289167261457398789316452397642581148935276625871934973128645452763819816594723
600040001920000400047000950000204000000000060850001000014005308000000200000900000,635749821928156437147823956371264589492587163856391742214675398769438215583912674
000704900000000001005096300970001050502000000400309020000000800000000612286100030,823714965697835241145296387978621453532478196461359728319562874754983612286147539
106020007407000001000100000000690300001874200004001050000000000942700000000040030,136429587487356921529187643278695314351874296694231758813562479942713865765948132
380000700400900200002083000720800004000700600060400009900524000000060000050000010,389241756416957283572683941725896134194735628863412579931524867247168395658379412
000000070500040000023000000000790080050000700004152006400930500079001008000006030,846315279597248613123679854632794185951863742784152396468937521379521468215486937
600000000007016098002704000008000050070003082100200030410000560000050029006000000,691328745347516298852794316238967154975143682164285937419872563783651429526439871
053000000080264300407080091804007500000800073700093460005130802002000006910006000,253971684189264357467385291834617529596842173721593468675139842342758916918426735
702300890040900210310000600201047960008090000005801040560003070000069420007150000,752316894846975213319428657231547968478692531695831742564283179183769425927154386
000300001000065300100000840400000000007630500003870000000000608000700014050000009,275348961894165327136297845468529173917634582523871496742913658389756214651482739
000006300000800600070000002024307000000000000000490005140920506002001004086030009,419276358235849617678153492524387961897615243361492785143928576952761834786534129
907503400000604003000190005500007100020000986006800020470980000002315000009040861,967523418815674293234198675598267134723451986146839527471986352682315749359742861
040000050000010007008490010035002000400000760000709005080070000200108400000053000,147326859923815647568497312735682194492531768816749235381974526259168473674253981
030000000900007462050016000000100200400080050005309000012000903000000501000000840,634928715981537462257416398768145239493682157125379684512864973846793521379251846
000060800006000340805000000050000100910400000700803000400790005020000013000206009,137964852296185347845372961354629178918457236762813594483791625629548713571236489
000010300614030005000760020820600001500000087300000900000105700000000090003800000,782514369614239875935768124829657431541923687376481952268195743157346298493872516
000700050063800000710040300000008000009000030038004107020063001000500090001000040,894731652563892714712645389147328965259176438638954127925463871486517293371289546
000073000003200080080050006006000900070900001005008462020000000500000049009400100,694873215153269784287154396346512978872946531915738462428391657531627849769485123
016000047000200009070105003000402806700008020000300000003000000800003000009020050,216839547345267189978145263591472836734658921682391475453986712827513694169724358
024800500960070001701900006000504687000120000003006900008057300540203000602000090,324861579965372841781945236219534687876129453453786912198657324547293168632418795
024079000010002086000003400035204800102000300007000005300080000000000100001700003,624879531713542986598163472935214867182657349467398215356981724279436158841725693
009008000201500600870300004012704000090020000700930100006000210300000850000000040,469278531231549687875316924512764398693821475784935162956487213347192856128653749
003000000020705040500001070000000000800002009000370000080400201009560000430000905,173846592928735146564921873392184657847652319651379428785493261219568734436217985
040500800907030150021006009010000092003070500800604003400290000630100080005003274,346519827987432156521786439714358692263971548859624713478295361632147985195863274
000800000061000049930000070150080000000039200400001000090020007006500003200000001,742895136561372849938614572153286794687439215429751368394128657816547923275963481
500603049006087003000040100000008000000000400090050031603000004028000050900000806,582613749416987523739542168345168972261739485897254631653871294128496357974325816
600001000495003000300006705000100000000057400000409008006000040200098300503000060,678521934495873126321946785754182693869357412132469578916235847247698351583714269
906050400000400726800001000210800094500026030000030500005040809608307000470009001,926753418351498726847261953213875694584926137769134582135642879698317245472589361
100040005409300007000000000070002300500730010008400000001000608050060000024800050,137249865469385127285671493976152384542738916318496572791524638853967241624813759
700103050400800060000049000360000840500000000800000007150000003003005920002070006,789163254435827169216549738367912845594738612821654397158296473673485921942371586
000000008908007050650000200000082500090060070072054006160000000007610000000409700,723596418948127653651843297316782549594361872872954136169275384437618925285439761
090508000304070000000000020008001600021009800000005070080390460005000280000002900,297518346314276598856943721548721639721639854639485172182397465975164283463852917
000405000060000800005001000000900030800000620001007000000000000030060000000000045,712485963469273851385691472547926138893154627621837594258749316134562789976318245
609070004010003600400605090000500103070281000004009850507810060000000308008704002,659178234712493685483625791896547123375281946124369857537812469241956378968734512
079003006000000300000020005000490000402008010900005080005200000008501090007800030,279153846564987321813624975781492653452368719936715284345279168628531497197846532
000060190000500030000009000007800060180002900400310000000000045605208000300001608,548763192912584736763129584237895461186472953459316827891637245675248319324951678
000470006380056940600080000005000000030000150010000029090007800003000002406030000,159473286382156947647289315265891473934762158718345629591627834873914562426538791
008000006700085200009003705030000000000057000005000001080700020300100607004090010,258974136713685249469213785937421568146857392825369471581736924392148657674592813
000010027000300060537240000060900040800000003000003002709030800010000005008400000,496815327182397564537246198365928741821764953974153682749532816213689475658471239
000000000900030207100705900004300000819400003030060010000000005090057002067024000,473298156985136247126745938654381729819472563732569814248913675391657482567824391
002700010000083200080040573600000002500008700920000000700000008000400350000095100,392756814457183269186942573678519432534268791921374685745631928819427356263895147
005000008900304600000900000023000745080572300000000800000000200000140000490020017,345267198971384652862951473623819745184572369759436821516798234237145986498623517
080000369905460010000810000000540006040700001006000002527000000000105000103000070,481257369975463218632819457319542786248796531756381942527638194894175623163924875
000000064000030000000800912000200000092040000000009050680700005500106008400500090,278951364916432587345867912753218649192645873864379251689724135537196428421583796
800030504903501080006920070405006100301070860000050000100002740200009603007400002,812637594973541286546928371425896137391274865768153429159362748284719653637485912
000006000002000300070004000900000060000030070008020000800010500640000000000000200,384296157562871394179354628937145862216938475458627913823719546641582739795463281
090072000050080420310000000000030004500000900000045260420003000000700006008500100,894672315657381429312459678281936754546217983973845261425163897139728546768594132
008000200030070006000310080400000000009050070800901000600000900000090703080002051,198564237534278196762319584425783619319456872876921345653147928241895763987632451
000000800090060023801200504000100002010300000500097000905003040000640200068000000,256431897794568123831279564389156472617324958542897316925783641173645289468912735
020003560500680002000005004300000050049000081000002000000208010005040390080060000,827413569594687132136925874312894657749536281658172943973258416265741398481369725
900060053700100040080500102001000600040000270000001400002000007300042000090006000,914268753725139846683574192531427689846395271279681435452813967367942518198756324
006050300090003000080001040010009860060020100020008004200000700071000058008000230,146952387597483621382761945415379862869524173723618594234895716971236458658147239
009436000080970000304100002100068000652000008040003570870640031010000809000020650,729436185581972463364185792137568924652794318948213576875649231216357849493821657
008070009000000520000304076040700000051000000003940000070180050060000080010630900,638572419497816523125394876246753198951268734783941265374189652569427381812635947
000190400602800015000006002001000324080000000000709000054600083000007000000040001,538192467642873915179456832791568324385214679426739158954621783213987546867345291
300790508000000000000060104060524000500070000003000090800003006000050007940000003,314792568658431279297865134769524381581379642423186795875243916136958427942617853
400600000280900530001030080090126050100000000000000608760000001900010000000805200,439658172287941536651732489893126754176584923542379618765293841928417365314865297
000000080051908000240100300904060050002009000000807020036000004000000000800015900,793524681651938247248176395984261753172359468365847129536792814419683572827415936
061000087000300059080200140907400061620058000004090300100509000000003702006704098,361945287742381659589276143957432861623158974814697325178529436495863712236714598
370800000600700103001400200800007310000000009002300060705000001040000000010000732,374812956628795143591436278869257314437168529152349867785623491243971685916584732
506040000000001987000090600100073004900000278050000001045006020000000009000030700,596847132324561987871392645182673594963154278457289361745916823638725419219438756
840000300036000800000006050400000902900003080000001500004160000590008000000030120,845792316236514879179386254413857962957623481682941537324165798591278643768439125
090800300000000402000500000080000060000004700050000000300000000400002010000900050,692841375531796482847523196284379561916254738753168249369415827475682913128937654
007000082002807104000000003031000900800010000000930007700000620000004000060050030,197643582352897164486521793231476958879215346645938217714389625523164879968752431
904000700070000029038006005000830000010000070000007000000060297300098010007001400,954182763176345829238976145729834651815629374463517982581463297342798516697251438
100000050700000001800900000005400000000000800002000010000006003000020900000051000,163248759729563481854917236915482367476135892382679514548796123631824975297351648
000420380000050060207000000040006090036000000000090040700001000000800700051060804,569427381413958267287613459845276193936184572172395648728541936694832715351769824
600000040004700000700030000000400000080000301000500000095000000030080100000000006,613859742954762813728134965572413689489276351361598427195647238236985174847321596
000005280031000000040000000000000405006800000000000003200008000050000001000700900,679135284831249576542687139987362415316854792425971863293518647758496321164723958
100030070004000026700684500002000800017500290630700005000060034008009000405003601,156932478984157326723684519542391867817546293639728145271865934368419752495273681
200798000500100730061020040009000600152960000000400013310000500800070391004500068,243798156598146732761325849439817625152963487687452913316289574825674391974531268
000007000900200001400000006000050010004006030000030804680015400003400000100073020,861347295935268741427591386398754612514826937276139854682915473753482169149673528
097003082050000900002000000400002050000006020500080400080210000005090071006004200,197463582654821937832975164468132759971546823523789416389217645245698371716354298
008024050200600030006108000080060400000400300070000008000000006010000900403807005,198324657247659831536178294985763412621485379374912568859231746712546983463897125
017000000000001300000800001070052003600000040245300700820000070000060000400000189,517239864982641357364875921178452693639187245245396718823914576791568432456723189
000000005400600130130005409000000000800760500060529070000000000720100040001280600,697341285458692137132875469275418396819763524364529871586934712723156948941287653
023001000800000000700204600030108050100039040070040000000005008002860017900000000,523691874846357192791284635634128759185739246279546381367915428452863917918472563
060005207000370500050000000800000061600439080007810400090000000080000070100000340,368945217241378596759621834834257961615439782927816453593764128482193675176582349
040050000800200001000090000090000450060008300000001000000000900007000000100007000,942156783853274691716893524391762458265948317478531269684315972527489136139627845
040000320000720004000005060020080003080300002000009040700950400000003005803001000,645198327319726584278435961126584793984367152537219846761952438492873615853641279
002064900600059000100000040080003060070080002000000003090042000005008400010570300,732164958648259731159837246981723564473685192526491873897342615365918427214576389
000000900000492803000000025040060000500020390020083000803000076070800100009010080,238175964765492813194638725347961258586724391921583647813249576472856139659317482
000500000006791000050000403803910000020060080060000000009007030600003100500000008,298534716346791852751826493873912564124365987965478321419687235687253149532149678
060200001000617090000009070800064002000050900657000008000000030002100004504003000,769235481348617295215489673893764512421358967657921348186542739932176854574893126
300000604100024000000000005000000086070600200830450000000000067000007510000915008,382591674165724839794836125259173486471689253836452791513248967948367512627915348
780000005000000610000021094000106000000070100000040050026003701000800000950000030,781694325249385617365721894592136478834579162617248953426953781173862549958417236
007500000000000009093200150046001000700062004201709000000000605000000030052080040,127596483564138279893274156946851327785362914231749568318427695479615832652983741
002006087001304000900000003123000000009060000000000791005000400000750008060408200,432916587571384926986527143123879654749165832658243791815632479294751368367498215
000409000005000100020000080570000001040000852002043000850060300000000240030705060,618429573395687124427351689576892431943176852182543796859264317761938245234715968
900024700003000001005070040007630000800007000230000005400160900009000104010009000,981524736743896251625371849157632498896457312234918675472165983569783124318249567
000020700010000904000450000000036000007002509130000008973000010020004300800100000,348629751215387964796451823589736142467812539132945678973268415621594387854173296
005700180020000700706200030008070050540903060000002000007040018300060000080000000,495736182823451796716298435138674259542913867679582341267349518351867924984125673
